"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.177721024E1,-3.974374831E-1,1.233013868E-1,9.830592155E0,9.839395404E0
6.177973056E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.178225154E1,-3.878606856E-1,1.424549967E-1,9.825803757E0,9.834487724E0
6.178477332E1,-3.974374831E-1,1.424549967E-1,9.816226959E0,9.825302117E0
6.178729592E1,-4.070142806E-1,1.328781992E-1,9.830592155E0,9.839911553E0
6.178981941E1,-4.022258818E-1,1.328781992E-1,9.835380554E0,9.844498612E0
6.179234378E1,-3.830722570E-1,1.280897856E-1,9.830592155E0,9.838886801E0
6.179486899E1,-3.782838583E-1,1.233013868E-1,9.830592155E0,9.838640355E0
6.179739493E1,-3.926490843E-1,1.280897856E-1,9.830592155E0,9.839264323E0
6.179992154E1,-4.022258818E-1,1.424549967E-1,9.835380554E0,9.844632534E0
6.180244868E1,-3.926490843E-1,1.424549967E-1,9.830592155E0,9.839461817E0
6.180497623E1,-3.926490843E-1,1.376665980E-1,9.825803757E0,9.834609543E0
6.180750404E1,-3.926490843E-1,1.376665980E-1,9.825803757E0,9.834609543E0
6.181003196E1,-3.974374831E-1,1.376665980E-1,9.825803757E0,9.834801885E0
6.181255920E1,-3.926490843E-1,1.376665980E-1,9.830592155E0,9.839393656E0
6.181508347E1,-3.782838583E-1,1.328781992E-1,9.821015358E0,9.829196201E0
6.181760769E1,-3.734954596E-1,1.280897856E-1,9.825803757E0,9.833734047E0
6.182012920E1,-3.878606856E-1,1.328781992E-1,9.835380554E0,9.843922144E0
6.182265092E1,-4.070142806E-1,1.280897856E-1,9.835380554E0,9.844631952E0
6.182517295E1,-3.974374831E-1,1.185129806E-1,9.825803757E0,9.834552422E0
6.182769535E1,-3.878606856E-1,1.280897856E-1,9.825803757E0,9.834290130E0
6.183021816E1,-3.878606856E-1,1.328781992E-1,9.825803757E0,9.834353664E0
6.183274144E1,-4.022258818E-1,1.376665980E-1,9.825803757E0,9.834996554E0
6.183526519E1,-3.878606856E-1,1.376665980E-1,9.835380554E0,9.843987944E0
6.183778941E1,-3.782838583E-1,1.424549967E-1,9.835380554E0,9.843683393E0
6.184031410E1,-3.926490843E-1,1.424549967E-1,9.835380554E0,9.844245902E0
6.184283920E1,-3.926490843E-1,1.376665980E-1,9.830592155E0,9.839393656E0
6.184536467E1,-3.974374831E-1,1.424549967E-1,9.825803757E0,9.834870078E0
6.184789045E1,-3.974374831E-1,1.424549967E-1,9.825803757E0,9.834870078E0
6.185041649E1,-3.926490843E-1,1.328781992E-1,9.835380554E0,9.844111974E0
6.185294269E1,-3.878606856E-1,1.424549967E-1,9.835380554E0,9.844056074E0
6.185546899E1,-3.926490843E-1,1.520318091E-1,9.825803757E0,9.834821119E0
6.185800071E1,-3.926490843E-1,1.376665980E-1,9.830592155E0,9.839393656E0
6.186052014E1,-3.878606856E-1,1.280897856E-1,9.840168953E0,9.848642948E0
6.186303972E1,-3.926490843E-1,1.328781992E-1,9.840168953E0,9.848896128E0
6.186555967E1,-4.022258818E-1,1.376665980E-1,9.825803757E0,9.834996554E0
6.186808014E1,-3.974374831E-1,1.424549967E-1,9.821015358E0,9.830086095E0
6.187060123E1,-3.878606856E-1,1.376665980E-1,9.830592155E0,9.839203735E0
6.187312306E1,-3.830722570E-1,1.280897856E-1,9.830592155E0,9.838886801E0
6.187564571E1,-3.782838583E-1,1.376665980E-1,9.821015358E0,9.829262100E0
6.187816920E1,-3.830722570E-1,1.376665980E-1,9.821015358E0,9.829447548E0
6.188069352E1,-3.878606856E-1,1.424549967E-1,9.825803757E0,9.834487724E0
6.188321863E1,-3.974374831E-1,1.328781992E-1,9.821015358E0,9.829951975E0
6.188574446E1,-4.070142806E-1,1.280897856E-1,9.830592155E0,9.839848055E0
6.188827092E1,-4.070142806E-1,1.328781992E-1,9.825803757E0,9.835127691E0
6.189079790E1,-3.974374831E-1,1.280897856E-1,9.825803757E0,9.834672491E0
6.189332529E1,-3.830722570E-1,1.280897856E-1,9.825803757E0,9.834102441E0
6.189585295E1,-3.782838583E-1,1.280897856E-1,9.825803757E0,9.833917080E0
6.189838071E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.190090826E1,-3.878606856E-1,1.328781992E-1,9.825803757E0,9.834353664E0
6.190343253E1,-3.830722570E-1,1.376665980E-1,9.825803757E0,9.834231841E0
6.190595410E1,-3.878606856E-1,1.328781992E-1,9.821015358E0,9.829569430E0
6.190847587E1,-3.878606856E-1,1.328781992E-1,9.830592155E0,9.839137902E0
6.191099790E1,-3.830722570E-1,1.424549967E-1,9.835380554E0,9.843868570E0
6.191352029E1,-3.926490843E-1,1.424549967E-1,9.821015358E0,9.829893661E0
6.191604311E1,-4.022258818E-1,1.424549967E-1,9.830592155E0,9.839848638E0
6.191856639E1,-3.974374831E-1,1.568202078E-1,9.835380554E0,9.844656407E0
6.192109014E1,-3.974374831E-1,1.520318091E-1,9.816226959E0,9.825445636E0
6.192361436E1,-4.070142806E-1,1.376665980E-1,9.821015358E0,9.830409726E0
6.192613904E1,-3.974374831E-1,1.328781992E-1,9.830592155E0,9.839520074E0
6.192866415E1,-3.830722570E-1,1.280897856E-1,9.821015358E0,9.829318085E0
6.193118962E1,-3.782838583E-1,1.328781992E-1,9.816226959E0,9.824411789E0
6.193371540E1,-3.878606856E-1,1.233013868E-1,9.821015358E0,9.829444634E0
6.193624144E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.193876764E1,-3.830722570E-1,1.376665980E-1,9.830592155E0,9.839016138E0
6.194129394E1,-3.782838583E-1,1.280897856E-1,9.816226959E0,9.824348191E0
