"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.299441096E0,1.545459777E-2,2.271652222E-3,1.653671265E-3,1.570794782E-2
1.304267815E0,1.101940870E-3,2.219200134E-3,1.113128662E-2,1.140371276E-2
1.309094585E0,3.421567380E-3,-1.768767834E-4,8.664131165E-3,9.316951088E-3
1.313921304E0,-8.456252515E-3,-2.553284168E-3,8.591651917E-3,1.232249769E-2
1.318748075E0,-1.252882183E-3,2.209037542E-3,1.401901245E-3,2.900842589E-3
1.323574794E0,8.263349533E-3,-9.707659483E-3,1.799869537E-2,2.205616996E-2
1.328401513E0,-3.685668111E-3,4.635363817E-3,1.547718048E-2,1.657147739E-2
1.333228283E0,-1.559177786E-2,-2.526909113E-3,1.060295105E-2,1.902396850E-2
1.338055002E0,1.299867779E-2,-7.285833359E-3,2.237796783E-2,2.688535729E-2
1.342881773E0,-1.331843436E-3,-1.406669617E-4,1.981735229E-2,1.986255387E-2
1.347708492E0,-3.708533943E-3,2.228707075E-3,1.253414154E-2,1.325990435E-2
1.352535210E0,-1.348838210E-3,-4.913240671E-3,1.242828369E-2,1.343210832E-2
1.357361981E0,8.109845221E-3,-9.593576193E-3,5.205154419E-3,1.359779123E-2
1.362188700E0,1.277228445E-2,-2.138239145E-2,9.908676147E-3,2.680521922E-2
1.367015471E0,-6.304629147E-3,-2.361023426E-2,1.694297791E-2,2.973644247E-2
1.371842190E0,-8.639037609E-3,-6.779164076E-3,2.154922485E-2,2.418592831E-2
1.376668908E0,-1.462474465E-3,5.165874958E-3,1.425075531E-2,1.522856272E-2
1.381495679E0,-1.494377851E-3,-9.119182825E-3,-7.224082947E-3,1.172945161E-2
1.386322398E0,-1.098752767E-2,2.816200256E-3,9.447097778E-3,1.476158544E-2
1.391149169E0,-1.476854086E-3,-1.144960523E-2,1.411247253E-2,1.823283957E-2
1.395975888E0,1.513070613E-2,5.346834660E-4,2.131462097E-3,1.528945012E-2
1.400802606E0,1.501972228E-2,-4.220575094E-3,6.859779358E-3,1.704294236E-2
1.405629377E0,-6.477139890E-3,2.928912640E-3,-1.218032837E-2,1.410291706E-2
1.410456096E0,-6.409749389E-3,-6.562203169E-3,1.877021790E-2,2.089182801E-2
1.415282815E0,-8.744135499E-3,-1.594540477E-2,6.750106812E-3,1.939793238E-2
1.420109585E0,-6.283283234E-3,7.911264896E-3,6.693840027E-3,1.211921015E-2
1.424936304E0,9.311586618E-4,7.511377335E-4,-5.225181580E-3,5.360390554E-3
1.429763075E0,-1.573086530E-2,-8.722186089E-3,-2.807617188E-3,1.820492701E-2
1.434589794E0,-6.093986332E-3,-1.506358385E-3,1.961708069E-3,6.576783678E-3
1.439416513E0,5.835466087E-3,5.649298429E-3,4.319190979E-3,9.199056903E-3
1.444243283E0,1.286139339E-2,-3.894031048E-3,-2.835273743E-3,1.373381575E-2
1.449070002E0,-8.616641164E-3,5.654454231E-3,-5.184173584E-3,1.153668121E-2
1.453896773E0,1.516990364E-2,8.565187454E-4,2.333354950E-2,2.784446324E-2
1.458723492E0,2.211888880E-2,2.454400063E-2,3.262805939E-2,4.643536871E-2
1.463550210E0,-4.152879119E-3,5.380898714E-3,1.574611664E-2,1.715052959E-2
1.468376981E0,5.388364196E-3,-1.758426428E-3,1.379013062E-3,5.833370315E-3
1.473203700E0,1.241885871E-2,-1.121118665E-2,1.085948944E-2,1.994610911E-2
1.478030471E0,7.555522025E-3,5.487412214E-3,-1.296043396E-2,1.597405566E-2
1.482857190E0,1.225259155E-2,-1.652479172E-3,-3.358840942E-3,1.281165483E-2
1.487683908E0,-6.877511740E-3,5.475580692E-3,3.786087036E-3,9.571656424E-3
1.492510679E0,-2.118535340E-3,-4.066288471E-3,3.753662109E-3,5.925611627E-3
1.497337398E0,-1.163650304E-2,7.086694241E-4,1.558589935E-2,1.946357300E-2
1.502164117E0,-9.209893644E-3,6.977319717E-4,-1.154899597E-3,9.308209490E-3
1.506990888E0,-1.626586914E-2,2.678859234E-2,-1.538276672E-2,3.491184169E-2
1.511817606E0,-1.137114316E-2,-4.315674305E-3,8.474349976E-3,1.482371576E-2
1.516644377E0,-1.129130274E-2,4.613697529E-4,3.657341003E-3,1.187781642E-2
1.521471096E0,-4.122652113E-3,1.234644651E-2,1.254081726E-3,1.307683918E-2
